cl_name,num_nodes
4193910,104603717
4654150,119752
6245469,97902
5639372,88305
7371898,85981
6273522,85794
1935800,79509
1000491,74676
6497556,71522
808980,65840
8808000,63375
1889140,63227
7542179,63142
2748381,61588
6988379,58456
6573861,57698
2864584,57290
3312946,57238
5814431,55956
1029834,55464
8376148,54944
3058305,53424
4494585,52380
10026951,52346
2929392,52271
3234467,52063
2479591,50945
1349764,50472
4669990,49506
574535,47970
5598766,47037
4800899,46945
1110664,45528
1841286,45005
5173234,44984
2238039,44678
10141005,44274
3915539,44040
9878157,42898
1030005,42833
4672673,42705
4145452,42570
5483683,42256
2445042,41555
6578112,41194
4984947,41170
4409637,40646
5973006,40635
12269262,40630
5083869,40467
11466837,39720
5155271,39602
902337,39528
12334824,39365
6872317,39091
1874358,38749
1769913,38692
5639449,38629
2858839,38014
5084895,37794
2920285,37402
8956094,37357
7972482,37034
5141762,36913
12430129,36814
297571,36801
7296402,36744
7525588,36483
1021261,35926
6605979,35554
4328450,35043
12414762,35029
7053040,34714
426283,33751
4016667,33464
5038413,33200
1223978,32768
7801166,32766
2928019,32692
3135267,32517
612112,32026
3368383,31949
2903382,31616
5708559,31306
9836036,31259
5481073,31208
12058315,31160
7184875,31076
8146573,30692
3390230,30585
2085455,30478
10889927,30131
7457291,30114
4487681,30037
1305858,29507
1336207,29394
1896441,29338
3854558,29248
10720328,29092
2863730,28743
